order_id,seller_id,order_amount,commission_rate,commission_amount,refund_amount,net_payable,order_date
ORD-00327,SLR-16,1371.17,0.0500,68.56,0.00,1302.61,2026-08-08
ORD-00328,SLR-16,3444.66,0.0800,275.57,551.72,2617.37,2026-08-08
ORD-00329,SLR-16,3861.02,0.1200,463.32,1020.25,2377.45,2026-08-11
ORD-00330,SLR-16,127.16,0.1500,19.07,0.00,108.09,2026-08-05
ORD-00331,SLR-16,2233.36,0.1800,402.00,0.00,1831.36,2026-08-10
ORD-00332,SLR-16,2603.20,0.1800,468.58,0.00,2134.62,2026-08-16
ORD-00333,SLR-16,1783.84,0.1000,178.38,0.00,1605.46,2026-08-10
ORD-00334,SLR-16,3519.92,0.1500,527.99,0.00,2991.93,2026-08-03
ORD-00335,SLR-17,1110.88,0.2000,222.18,116.49,772.21,2026-08-09
ORD-00336,SLR-17,3498.88,0.1000,349.89,0.00,3148.99,2026-08-15
ORD-00337,SLR-17,3961.99,0.1000,396.20,0.00,3565.79,2026-08-01
ORD-00338,SLR-17,1020.09,0.1500,153.01,0.00,867.08,2026-08-07
ORD-00339,SLR-17,4435.80,0.1200,532.30,0.00,3903.50,2026-08-13
ORD-00340,SLR-17,2201.52,0.1800,396.27,194.30,1610.95,2026-08-03
ORD-00341,SLR-17,1796.60,0.0800,143.73,261.37,1391.50,2026-08-16
ORD-00342,SLR-17,2442.18,0.2000,488.44,0.00,1953.74,2026-08-08
ORD-00343,SLR-17,1683.06,0.1500,252.46,0.00,1430.60,2026-08-11
ORD-00344,SLR-17,1471.29,0.1800,264.83,0.00,1206.46,2026-08-01
ORD-00345,SLR-17,425.71,0.1800,76.63,60.26,288.82,2026-08-08
ORD-00346,SLR-17,2225.55,0.1800,400.60,0.00,1824.95,2026-08-06
ORD-00347,SLR-17,3719.10,0.0500,185.96,0.00,3533.14,2026-08-10
ORD-00348,SLR-17,2026.98,0.1500,304.05,0.00,1722.93,2026-08-10
ORD-00349,SLR-17,2607.05,0.0800,208.56,0.00,2398.49,2026-08-05
ORD-00350,SLR-17,2280.22,0.1800,410.44,0.00,1869.78,2026-08-12
ORD-00351,SLR-17,4070.69,0.1500,610.60,0.00,3460.09,2026-08-16
ORD-00352,SLR-17,4094.33,0.0800,327.55,0.00,3766.78,2026-08-07
ORD-00353,SLR-17,2855.16,0.1200,342.62,0.00,2512.54,2026-08-03
ORD-00354,SLR-17,509.48,0.1500,76.42,145.78,287.28,2026-08-12
ORD-00355,SLR-17,3102.60,0.1500,465.39,0.00,2637.21,2026-08-07
ORD-00356,SLR-17,4579.96,0.1500,686.99,0.00,3892.97,2026-08-11
ORD-00357,SLR-17,3858.71,0.1500,578.81,0.00,3279.90,2026-08-07
ORD-00358,SLR-17,4339.87,0.0500,216.99,0.00,4122.88,2026-08-15
ORD-00359,SLR-18,1545.19,0.0800,123.62,0.00,1421.57,2026-08-05
ORD-00360,SLR-18,268.91,0.2000,53.78,0.00,215.13,2026-08-04
ORD-00361,SLR-18,1361.78,0.0800,108.94,399.24,853.60,2026-08-01
ORD-00362,SLR-18,2440.63,0.1500,366.09,0.00,2074.54,2026-08-02
ORD-00363,SLR-18,1383.11,0.1800,248.96,297.67,836.48,2026-08-02
ORD-00364,SLR-18,2929.89,0.0800,234.39,0.00,2695.50,2026-08-08
ORD-00365,SLR-18,834.71,0.1500,125.21,0.00,709.50,2026-08-02
ORD-00366,SLR-18,4377.06,0.1800,787.87,0.00,3589.19,2026-08-08
ORD-00367,SLR-18,1342.05,0.1000,134.20,0.00,1207.85,2026-08-11
ORD-00368,SLR-18,2268.24,0.1000,226.82,0.00,2041.42,2026-08-08
ORD-00369,SLR-18,3382.00,0.1800,608.76,0.00,2773.24,2026-08-06
ORD-00370,SLR-18,345.80,0.1000,34.58,0.00,311.22,2026-08-16
ORD-00371,SLR-18,4219.87,0.1500,632.98,0.00,3586.89,2026-08-13
ORD-00372,SLR-18,2240.45,0.0800,179.24,0.00,2061.21,2026-08-14
ORD-00373,SLR-18,4055.31,0.1500,608.30,0.00,3447.01,2026-08-06
ORD-00374,SLR-18,1676.72,0.2000,335.34,0.00,1341.38,2026-08-08
ORD-00375,SLR-18,4895.87,0.0500,244.79,0.00,4651.08,2026-08-15
ORD-00376,SLR-18,3021.78,0.1500,453.27,0.00,2568.51,2026-08-14
ORD-00377,SLR-18,1436.91,0.0800,114.95,0.00,1321.96,2026-08-08
ORD-00378,SLR-18,4935.12,0.1200,592.21,0.00,4342.91,2026-08-03
ORD-00379,SLR-18,2908.27,0.1800,523.49,0.00,2384.78,2026-08-03
ORD-00380,SLR-19,2095.76,0.1200,251.49,0.00,1844.27,2026-08-10
ORD-00381,SLR-19,1717.02,0.1000,171.70,0.00,1545.32,2026-08-12
ORD-00382,SLR-19,2543.20,0.0500,127.16,0.00,2416.04,2026-08-16
ORD-00383,SLR-19,4093.12,0.2000,818.62,0.00,3274.50,2026-08-16
ORD-00384,SLR-19,2043.56,0.1000,204.36,0.00,1839.20,2026-08-07
ORD-00385,SLR-19,3986.29,0.0800,318.90,1104.65,2562.74,2026-08-08
ORD-00386,SLR-19,899.07,0.0800,71.93,0.00,827.14,2026-08-10
ORD-00387,SLR-19,3087.33,0.2000,617.47,0.00,2469.86,2026-08-13
ORD-00388,SLR-19,1449.13,0.2000,289.83,0.00,1159.30,2026-08-11
ORD-00389,SLR-19,2516.07,0.0800,201.29,0.00,2314.78,2026-08-16
ORD-00390,SLR-19,987.43,0.0800,78.99,0.00,908.44,2026-08-12
ORD-00391,SLR-19,1064.94,0.1500,159.74,0.00,905.20,2026-08-16
ORD-00392,SLR-19,2846.97,0.0500,142.35,0.00,2704.62,2026-08-02
ORD-00393,SLR-19,4388.65,0.1800,789.96,26.73,3571.96,2026-08-03
ORD-00394,SLR-19,820.85,0.2000,164.17,0.00,656.68,2026-08-14
ORD-00395,SLR-19,3807.60,0.0800,304.61,672.87,2830.12,2026-08-03
ORD-00396,SLR-19,2056.64,0.0500,102.83,0.00,1953.81,2026-08-15
ORD-00397,SLR-19,3556.54,0.1200,426.78,707.58,2422.18,2026-08-16
ORD-00398,SLR-19,162.13,0.0500,8.11,0.00,154.02,2026-08-14
ORD-00399,SLR-19,2908.81,0.1000,290.88,924.69,1693.24,2026-08-09
ORD-00400,SLR-20,1208.43,0.2000,241.69,0.00,966.74,2026-08-08
ORD-00401,SLR-20,1521.31,0.0500,76.07,0.00,1445.24,2026-08-16
ORD-00402,SLR-20,4814.98,0.1500,722.25,0.00,4092.73,2026-08-09
ORD-00403,SLR-20,1040.33,0.2000,208.07,0.00,832.26,2026-08-02
ORD-00404,SLR-20,3177.75,0.0800,254.22,0.00,2923.53,2026-08-07
ORD-00405,SLR-20,4969.97,0.0500,248.50,0.00,4721.47,2026-08-13
ORD-00406,SLR-20,3071.11,0.2000,614.22,0.00,2456.89,2026-08-08
ORD-00407,SLR-20,2112.45,0.2000,422.49,0.00,1689.96,2026-08-11
ORD-00408,SLR-20,2725.59,0.1800,490.61,0.00,2234.98,2026-08-03
ORD-00409,SLR-20,612.15,0.1200,73.46,0.00,538.69,2026-08-02
ORD-00410,SLR-20,1885.68,0.1500,282.85,0.00,1602.83,2026-08-03
